"id","name","specialty_code","active","description"
"speciality_1","Cardiology","CARD","True","Diagnosis and treatment of heart and cardiovascular system disorders"
"speciality_2","Pediatrics","PEDI","True","Medical care for infants, children, and adolescents"
"speciality_3","Neurology","NEUR","True","Diagnosis and treatment of nervous system disorders"
"speciality_4","Orthopedics","ORTH","True","Treatment of musculoskeletal system, bones, joints, and ligaments"
"speciality_5","Dermatology","DERM","True","Diagnosis and treatment of skin, hair, and nail conditions"
"speciality_6","Gynecology","GYNE","True","Women's reproductive health and pregnancy care"
"speciality_7","Ophthalmology","OPHT","True","Eye and vision care, treatment of eye diseases"
"speciality_8","Psychiatry","PSYC","True","Mental health diagnosis and treatment"
"speciality_9","General Practice","GENP","True","Primary healthcare, routine checkups, and general medical care"
"speciality_10","Surgery","SURG","True","Performing surgical operations and procedures"
"speciality_11","Anesthesiology","ANES","False","Pain management and anesthesia during surgeries (inactive)"
