"id","name","description","code_MKX_10","danger_level","is_contagious","symptoms","patient_id/id","parent_id/id","distribution_region_ids/id"
"disease_1","Influenza","Seasonal flu - viral infection of respiratory system","J11","medium","True","High fever, cough, sore throat, muscle aches, fatigue, headache","","","base.ua,base.us,base.de,base.fr,base.uk,base.pl"
"disease_2","Pneumonia","Lung infection with inflammation","J18","high","True","High fever, chest pain, difficulty breathing, productive cough","hr_hospital.patient_4","hr_hospital.disease_1","base.ua,base.us,base.de,base.uk"
"disease_3","Bronchitis","Inflammation of bronchial tubes","J20","medium","True","Persistent cough, mucus production, chest discomfort, fatigue","hr_hospital.patient_5","hr_hospital.disease_1","base.ua,base.pl,base.de,base.fr"
"disease_4","Common Cold","Acute viral infection of upper respiratory tract","J00","low","True","Runny nose, sneezing, sore throat, cough, mild fever","","","base.ua,base.us,base.de,base.fr,base.uk,base.pl"
"disease_5","Sinusitis","Inflammation of sinus cavities","J32","medium","False","Facial pain, nasal congestion, thick nasal discharge, headache","hr_hospital.patient_1","hr_hospital.disease_4","base.ua,base.de,base.pl"
"disease_6","Pharyngitis","Throat inflammation","J02","low","True","Sore throat, difficulty swallowing, fever, swollen glands","hr_hospital.patient_6","hr_hospital.disease_4","base.ua,base.us,base.uk,base.fr"
"disease_7","Cardiovascular Diseases","Heart and blood vessel disorders","I00","critical","False","Various symptoms depending on condition","","","base.ua,base.us,base.de,base.fr,base.uk,base.pl"
"disease_8","Hypertension","High blood pressure","I10","high","False","Often asymptomatic, headaches, dizziness, nosebleeds","hr_hospital.patient_3","hr_hospital.disease_7","base.ua,base.us,base.de,base.fr,base.uk,base.pl"
"disease_9","Heart Failure","Heart cannot pump blood effectively","I50","critical","False","Shortness of breath, fatigue, swelling in legs, rapid heartbeat","hr_hospital.patient_12","hr_hospital.disease_7","base.ua,base.us,base.de,base.uk"
"disease_10","Headache Disorders","Various types of headaches","R51","low","False","Head pain of different types and intensities","","","base.ua,base.us,base.de,base.fr,base.uk,base.pl"
"disease_11","Migraine","Severe recurring headache disorder","G43","medium","False","Intense throbbing pain, nausea, sensitivity to light and sound","hr_hospital.patient_5","hr_hospital.disease_10","base.ua,base.us,base.de,base.fr,base.uk,base.pl"
"disease_12","Type 2 Diabetes","Chronic metabolic disorder","E11","high","False","Increased thirst, frequent urination, fatigue, blurred vision","hr_hospital.patient_2","","base.ua,base.us,base.de,base.fr,base.uk,base.pl"
